Temperature,Humidity,Wind Speed,Weather Condition,Date
289.28,20,1.66,broken clouds,2024-12-08 12:00:00
286.5,23,2.45,scattered clouds,2024-12-08 15:00:00
284.24,22,3.15,clear sky,2024-12-08 18:00:00
282.68,17,2.64,clear sky,2024-12-08 21:00:00
281.58,20,2.31,clear sky,2024-12-09 00:00:00
282.51,20,2.09,clear sky,2024-12-09 03:00:00
288.68,15,2.2,clear sky,2024-12-09 06:00:00
290.11,14,2.7,clear sky,2024-12-09 09:00:00
285.23,23,2.51,clear sky,2024-12-09 12:00:00
282.79,28,2.71,clear sky,2024-12-09 15:00:00
282.06,27,2.1,clear sky,2024-12-09 18:00:00
281.73,23,2.2,scattered clouds,2024-12-09 21:00:00
281.44,22,2.07,broken clouds,2024-12-10 00:00:00
282.09,25,1.95,scattered clouds,2024-12-10 03:00:00
289.09,17,1.8,scattered clouds,2024-12-10 06:00:00
290.62,15,2.62,scattered clouds,2024-12-10 09:00:00
285.95,22,1.54,broken clouds,2024-12-10 12:00:00
284.02,26,1.9,overcast clouds,2024-12-10 15:00:00
282.77,27,2.0,broken clouds,2024-12-10 18:00:00
282.14,27,1.84,clear sky,2024-12-10 21:00:00
281.77,27,1.87,few clouds,2024-12-11 00:00:00
283.12,24,1.28,overcast clouds,2024-12-11 03:00:00
289.19,16,1.78,overcast clouds,2024-12-11 06:00:00
291.21,13,2.3,clear sky,2024-12-11 09:00:00
286.25,21,1.59,clear sky,2024-12-11 12:00:00
284.02,25,2.36,clear sky,2024-12-11 15:00:00
283.38,24,2.11,clear sky,2024-12-11 18:00:00
282.71,25,2.13,clear sky,2024-12-11 21:00:00
282.02,29,2.05,clear sky,2024-12-12 00:00:00
282.8,30,1.66,clear sky,2024-12-12 03:00:00
289.46,20,1.73,clear sky,2024-12-12 06:00:00
291.15,17,2.51,clear sky,2024-12-12 09:00:00
286.15,25,1.77,clear sky,2024-12-12 12:00:00
283.97,29,2.13,clear sky,2024-12-12 15:00:00
283.31,28,2.1,clear sky,2024-12-12 18:00:00
282.7,28,2.23,clear sky,2024-12-12 21:00:00
282.25,30,2.23,clear sky,2024-12-13 00:00:00
283.19,31,2.06,clear sky,2024-12-13 03:00:00
290.67,19,2.21,clear sky,2024-12-13 06:00:00
292.88,15,3.08,clear sky,2024-12-13 09:00:00
